County/Region,State,Year,Average Value
Queens,NY,2002,317071.45537272724
New York,NY,2002,534289.0259545455
Suffolk,NY,2002,266933.2566363636
Bronx,NY,2002,263804.4558272727
Nassau,NY,2002,326215.25390909094
Montgomery,MD,2002,183512.45743727277
Westchester,NY,2002,390946.14039090904
Prince Georges,MD,2002,170596.5610090909
Erie,NY,2002,92888.55682454546
Baltimore,MD,2002,153701.08490000002
Monroe,NY,2002,105954.55221818182
Baltimore City,MD,2002,65276.01301545455
Anne Arundel,MD,2002,206591.6995909091
Richmond,NY,2002,259903.5174818182
Onondaga,NY,2002,88113.43208727274
Orange,NY,2002,176942.8359
Rockland,NY,2002,311027.9276818182
Howard,MD,2002,254582.3069363636
Albany,NY,2002,128031.95391818183
Dutchess,NY,2002,229539.55847272734
Frederick,MD,2002,207969.44198181824
Harford,MD,2002,177182.90909090906
Saratoga,NY,2002,141500.1466
Oneida,NY,2002,73112.66369909092
Niagara,NY,2002,70657.5948809091
Broome,NY,2002,69675.45699363636
Ulster,NY,2002,146735.6296818182
Carroll,MD,2002,194229.2308818182
Charles,MD,2002,200143.80142727273
Rensselaer,NY,2002,114547.99329999997
Schenectady,NY,2002,104290.79103636365
Washington,MD,2002,113139.32585909091
Chautauqua,NY,2002,61611.77703363637
Oswego,NY,2002,71628.10617181819
Jefferson,NY,2002,60198.624110909084
Saint Marys,MD,2002,179496.1795909091
Ontario,NY,2002,116867.32257272727
Saint Lawrence,NY,2002,55101.13454363637
Tompkins,NY,2002,95389.26397454547
Cecil,MD,2002,159797.14922727275
Wicomico,MD,2002,122856.90531818183
Putnam,NY,2002,266729.4359909091
Steuben,NY,2002,85185.55814818182
Calvert,MD,2002,201533.6831181818
Wayne,NY,2002,106091.63750909091
Chemung,NY,2002,51703.5961290909
Clinton,NY,2002,96756.20709272729
Sullivan,NY,2002,87699.76681727273
Cattaraugus,NY,2002,63708.99433909091
Cayuga,NY,2002,71087.53250727273
Allegany,MD,2002,59413.44181045454
Madison,NY,2002,65650.51762727273
Warren,NY,2002,115165.45938181817
Livingston,NY,2002,103025.55704545454
Columbia,NY,2002,124383.80907272728
Herkimer,NY,2002,67622.7787
Otsego,NY,2002,63723.54359545455
Genesee,NY,2002,89006.61020181818
Fulton,NY,2002,72217.86907999999
Worcester,MD,2002,172083.1164090909
Queen Annes,MD,2002,249886.04721818183
Tioga,NY,2002,85315.52803363636
Greene,NY,2002,92864.4663090909
Franklin,NY,2002,72457.14049818182
Chenango,NY,2002,61680.13323636364
Cortland,NY,2002,76928.65898727273
Delaware,NY,2002,79795.94503181819
Wyoming,NY,2002,79018.82639545454
Orleans,NY,2002,70141.90321636364
Talbot,MD,2002,229967.93931818183
Essex,NY,2002,85668.22768636362
Seneca,NY,2002,84865.47481
Caroline,MD,2002,115012.84157272727
Dorchester,MD,2002,89065.38537272728
Schoharie,NY,2002,87461.0717909091
Garrett,MD,2002,122211.02816363635
Lewis,NY,2002,72703.83864272728
Somerset,MD,2002,82664.73662818182
Yates,NY,2002,114556.16743636363
Kent,MD,2002,145125.7992909091
Schuyler,NY,2002,94748.39764818182
Hamilton,NY,2002,99776.92119363636
Kings,NY,2003,299028.8649727273
Queens,NY,2003,340713.7050181818
New York,NY,2003,446852.4210909091
Suffolk,NY,2003,318697.04072727275
Bronx,NY,2003,258654.45764545453
Nassau,NY,2003,378265.82054545457
Montgomery,MD,2003,208339.46402863634
Westchester,NY,2003,442184.0555727273
Prince Georges,MD,2003,191998.03380909088
Erie,NY,2003,97158.61400363635
Baltimore,MD,2003,170855.9086272727
Monroe,NY,2003,110825.86316363636
Baltimore City,MD,2003,69478.7970490909
Anne Arundel,MD,2003,238405.31846363636
Richmond,NY,2003,294874.5469090909
Onondaga,NY,2003,94760.01368636361
Orange,NY,2003,209184.96504545453
Rockland,NY,2003,357694.5168636364
Howard,MD,2003,297040.5680909091
Albany,NY,2003,141689.9391181818
Dutchess,NY,2003,267012.7192818182
Frederick,MD,2003,241040.54359999995
Harford,MD,2003,197699.94586363639
Saratoga,NY,2003,159004.0424090909
Oneida,NY,2003,77804.35597272727
Niagara,NY,2003,80226.96177
Broome,NY,2003,72310.41485090909
Ulster,NY,2003,167129.87039999999
Carroll,MD,2003,223379.96928181816
Charles,MD,2003,227283.91314545457
Rensselaer,NY,2003,123706.60350909093
Schenectady,NY,2003,114823.91896363636
Washington,MD,2003,123419.45548909086
Chautauqua,NY,2003,63686.80885818182
Oswego,NY,2003,72952.62386272728
Jefferson,NY,2003,64479.69552272726
Saint Marys,MD,2003,198904.33970909097
Ontario,NY,2003,121764.98964545455
Saint Lawrence,NY,2003,59777.41081818182
Tompkins,NY,2003,106511.39203636366
Cecil,MD,2003,173831.78623636367
Wicomico,MD,2003,132862.96726363638
Putnam,NY,2003,307803.1667
Steuben,NY,2003,83434.4408281818
Calvert,MD,2003,231875.1411909091
Wayne,NY,2003,106181.84910909088
Chemung,NY,2003,64097.46644363636
Clinton,NY,2003,83739.18045454545
Sullivan,NY,2003,90319.33019
Cattaraugus,NY,2003,56765.30512999999
Cayuga,NY,2003,63023.21941000001
Allegany,MD,2003,64229.10349545454
Madison,NY,2003,103473.81793636364
Warren,NY,2003,122483.82157272728
Livingston,NY,2003,110545.71677272726
Columbia,NY,2003,137704.10635454545
Herkimer,NY,2003,73653.45156999999
Otsego,NY,2003,69925.55331363637
Genesee,NY,2003,95901.01798818182
Fulton,NY,2003,79017.54686272728
Worcester,MD,2003,211924.6455909091
Queen Annes,MD,2003,290027.29133636365
Tioga,NY,2003,92527.96732909091
Greene,NY,2003,102065.55037818183
Franklin,NY,2003,78939.78970363637
Chenango,NY,2003,67223.98046545454
Cortland,NY,2003,83043.48602272727
Delaware,NY,2003,88377.18918363635
Wyoming,NY,2003,85474.67101181817
Orleans,NY,2003,75651.65408090908
Talbot,MD,2003,256191.00287272732
Essex,NY,2003,93987.72881454545
Seneca,NY,2003,91519.82530909091
Caroline,MD,2003,127438.96938181818
Dorchester,MD,2003,98437.7057490909
Schoharie,NY,2003,95237.75405
Garrett,MD,2003,134148.83616363633
Lewis,NY,2003,79125.67330909091
Somerset,MD,2003,90112.25626363637
Yates,NY,2003,123864.37913636364
Kent,MD,2003,159484.8521454545
Schuyler,NY,2003,102203.16987181817
Hamilton,NY,2003,110110.98464545453
Kings,NY,2004,346174.2956
Queens,NY,2004,376005.7454000001
New York,NY,2004,722645.224
Suffolk,NY,2004,363581.11422499997
Bronx,NY,2004,312940.11397500004
Nassau,NY,2004,425111.04954999994
Montgomery,MD,2004,244383.66649374997
Westchester,NY,2004,487983.5954666666
