County/Region,Year,Average Value
Albany,2003,141689.9391181818
Dutchess,2003,267012.7192818182
Saratoga,2003,159004.0424090909
Oneida,2003,77804.35597272727
Niagara,2003,80226.96177
Broome,2003,72310.41485090909
Ulster,2003,167129.87039999999
Rensselaer,2003,123706.60350909093
Schenectady,2003,114823.91896363636
Chautauqua,2003,63686.80885818182
Oswego,2003,72952.62386272728
Jefferson,2003,64479.69552272726
Ontario,2003,121764.98964545455
Saint Lawrence,2003,59777.41081818182
Tompkins,2003,106511.39203636366
Putnam,2003,307803.1667
Steuben,2003,83434.4408281818
Wayne,2003,106181.84910909088
Chemung,2003,64097.46644363636
Clinton,2003,83739.18045454545
Sullivan,2003,90319.33019
Cattaraugus,2003,56765.30512999999
Cayuga,2003,63023.21941000001
Madison,2003,103473.81793636364
Warren,2003,122483.82157272728
Livingston,2003,110545.71677272726
Columbia,2003,137704.10635454545
Washington,2003,92474.9195509091
Herkimer,2003,73653.45156999999
Otsego,2003,69925.55331363637
Genesee,2003,95901.01798818182
Fulton,2003,79017.54686272728
Montgomery,2003,71569.0991390909
Tioga,2003,92527.96732909091
Greene,2003,102065.55037818183
Franklin,2003,78939.78970363637
Chenango,2003,67223.98046545454
Cortland,2003,83043.48602272727
Allegany,2003,58960.52517000001
Delaware,2003,88377.18918363635
Wyoming,2003,85474.67101181817
Orleans,2003,75651.65408090908
Essex,2003,93987.72881454545
Seneca,2003,91519.82530909091
Schoharie,2003,95237.75405
Lewis,2003,79125.67330909091
Yates,2003,123864.37913636364
Schuyler,2003,102203.16987181817
Hamilton,2003,110110.98464545453
Kings,2004,346174.2956
Queens,2004,376005.7454000001
New York,2004,722645.224
Suffolk,2004,363581.11422499997
Bronx,2004,312940.11397500004
Nassau,2004,425111.04954999994
Westchester,2004,487983.5954666666
Erie,2004,103427.03781666665
Monroe,2004,116305.45642499998
Richmond,2004,331616.2376833334
Onondaga,2004,102536.10245
Orange,2004,238348.54505000004
Rockland,2004,398135.86380833335
Albany,2004,160851.42373333333
Dutchess,2004,220233.9826583333
Saratoga,2004,182773.416675
Oneida,2004,83984.01504000001
Niagara,2004,85195.58013
Broome,2004,76026.93043416667
Ulster,2004,195015.9568416667
Rensselaer,2004,136113.32379166665
Schenectady,2004,129761.22322500001
Chautauqua,2004,67672.05222416666
Oswego,2004,72378.90948
Jefferson,2004,70757.28128166667
Ontario,2004,128757.18029999999
Saint Lawrence,2004,64129.097780833334
Tompkins,2004,118388.45354166666
Putnam,2004,347583.167875
Steuben,2004,85681.46792583335
Wayne,2004,108635.62989999999
Chemung,2004,73637.12118166666
Clinton,2004,103687.78730000001
Sullivan,2004,110400.79255833333
Cattaraugus,2004,67196.84973
Cayuga,2004,86221.985165
Madison,2004,108324.77564999998
Warren,2004,133880.8759166667
Livingston,2004,118687.81553333333
Columbia,2004,155611.8075
Washington,2004,73970.53076083332
Herkimer,2004,82150.3726975
Otsego,2004,78516.11699333334
Genesee,2004,105259.4892525
Fulton,2004,87784.17344416666
Montgomery,2004,88163.66262916666
Tioga,2004,102761.99678666667
Greene,2004,115365.765925
Franklin,2004,87943.25361083332
Chenango,2004,74040.14649583334
Cortland,2004,91900.5741125
Allegany,2004,64838.66727166664
Delaware,2004,100012.36469916668
Wyoming,2004,94599.73032833333
Orleans,2004,83240.877615
Essex,2004,105350.63182166667
Seneca,2004,101667.21123833333
Schoharie,2004,106355.988175
Lewis,2004,87475.50810583333
Yates,2004,136781.91285833332
Schuyler,2004,112525.44744166666
Hamilton,2004,123919.30013333332
Kings,2005,414924.77500909095
Queens,2005,442087.33389999997
New York,2005,865810.1945999999
Suffolk,2005,416911.26037272724
Bronx,2005,370065.73586363636
Nassau,2005,480457.7485636365
Westchester,2005,549073.9240909091
Erie,2005,108501.23183636363
Monroe,2005,119478.45766363638
Richmond,2005,380899.4409636364
Onondaga,2005,109124.30489090909
Orange,2005,274403.9826090909
Rockland,2005,453836.27836363635
Albany,2005,185299.6079
Dutchess,2005,295462.1621909091
Saratoga,2005,212490.23925454545
Oneida,2005,90762.63093090909
Niagara,2005,88617.88885727272
Broome,2005,81484.5629090909
Ulster,2005,228703.889
Rensselaer,2005,158130.19607272727
Schenectady,2005,146669.4015090909
Chautauqua,2005,71365.38200909091
Oswego,2005,77360.70100090909
Jefferson,2005,84873.60181545456
Ontario,2005,134437.48342727273
Saint Lawrence,2005,67457.53445363637
Tompkins,2005,131432.55080909093
Putnam,2005,389962.9777272728
Steuben,2005,90411.30876545455
Wayne,2005,113125.47982727272
Chemung,2005,79379.75805545454
Clinton,2005,109847.30585454546
Sullivan,2005,121142.47929090909
Cattaraugus,2005,77737.55022272727
Cayuga,2005,97201.78110090908
Madison,2005,114746.09313636365
Warren,2005,153956.4407363636
Livingston,2005,123283.33302727272
Columbia,2005,178823.8092
Washington,2005,103125.21004454544
Herkimer,2005,92294.76914181818
Otsego,2005,91222.58147363637
Genesee,2005,117465.76126363636
Fulton,2005,96810.76307818183
Montgomery,2005,99804.97538
Tioga,2005,115226.00724545456
Greene,2005,132863.94795454547
Franklin,2005,99387.10588545454
Chenango,2005,80262.65964272729
Cortland,2005,100756.00673545453
Allegany,2005,71850.6442290909
Delaware,2005,115137.3962090909
Wyoming,2005,105431.57436363636
Orleans,2005,90438.13871636364
Essex,2005,120465.53008181817
Seneca,2005,113495.54995454544
Schoharie,2005,121213.43092727271
Lewis,2005,98607.12993818181
Yates,2005,151952.67303636365
Schuyler,2005,125376.18280909093
Hamilton,2005,141311.6731909091
Kings,2006,466615.5864818182
Queens,2006,457136.17989090906
New York,2006,976646.5440272727
Suffolk,2006,451578.4508363636
Bronx,2006,434474.6847363636
Nassau,2006,518965.6400090908
Westchester,2006,595901.1916090909
Erie,2006,114408.8623818182
Monroe,2006,123232.8609363636
Richmond,2006,424601.0681272727
Onondaga,2006,115675.34532727272
Orange,2006,297929.94199090917
Rockland,2006,488337.7093727272
Albany,2006,203749.3049727273
Dutchess,2006,315333.0132181818
Saratoga,2006,234519.7357
Oneida,2006,98209.95897727273
Niagara,2006,91852.96751363637
Broome,2006,90195.24376090908
Ulster,2006,249586.5734
Rensselaer,2006,177001.7745090909
Schenectady,2006,165009.9372272727
Chautauqua,2006,73930.69740818182
Oswego,2006,85123.14628818182
Jefferson,2006,100774.12855363637
Ontario,2006,139641.5729
Saint Lawrence,2006,75008.57250636363
Tompkins,2006,139390.7227
Putnam,2006,410104.80400909093
Steuben,2006,98886.44486636364
Wayne,2006,119598.02558181818
Chemung,2006,80635.22530363637
Clinton,2006,121006.39674545456
Sullivan,2006,130411.64275454548
Cattaraugus,2006,83593.69455000001
Cayuga,2006,109308.94483636365
Madison,2006,122893.23680000001
Warren,2006,184185.50372727273
Livingston,2006,127196.94606363638
Columbia,2006,197877.55383636363
Washington,2006,116589.11741818184
Herkimer,2006,97050.40530272727
Otsego,2006,108678.72517272727
Genesee,2006,122286.52658181818
Fulton,2006,103317.00279090909
Montgomery,2006,106061.32416363637
Tioga,2006,121013.9689090909
Greene,2006,144081.73244545455
Franklin,2006,105328.5928
Chenango,2006,88915.17095
Cortland,2006,108241.57232727273
Allegany,2006,75843.01915909092
Delaware,2006,124105.7208
Wyoming,2006,109820.6296
Orleans,2006,95384.99194090911
Essex,2006,128922.11207272726
Seneca,2006,117841.45789999998
Schoharie,2006,130424.82361818184
Lewis,2006,104653.85475454545
Yates,2006,158899.60504545455
Schuyler,2006,131177.76956363636
Hamilton,2006,151439.18153636364
Kings,2007,473764.3207636364
Queens,2007,501415.21650000004
New York,2007,947396.6362454544
Suffolk,2007,444997.07225454546
Bronx,2007,475679.7293545455
Nassau,2007,503483.03779090906
Westchester,2007,586442.6296181818
Erie,2007,118198.6874818182
Monroe,2007,125372.01233636365
Richmond,2007,428353.6072272727
Onondaga,2007,120638.45420909091
Orange,2007,296604.2500909091
Rockland,2007,467482.05164545454
Albany,2007,213346.05309090906
Dutchess,2007,309977.2386181818
Saratoga,2007,242029.6137909091
Oneida,2007,106025.77456363635
Niagara,2007,93500.42977909092
Broome,2007,98099.74567545456
Ulster,2007,246760.75619090907
Rensselaer,2007,186696.68534545452
Schenectady,2007,172365.29885454543
Chautauqua,2007,76349.39807363636
Oswego,2007,87585.0326509091
Jefferson,2007,110622.41430000002
Ontario,2007,142803.62221818184
Saint Lawrence,2007,79283.04524272728
Tompkins,2007,143292.51313636362
Putnam,2007,406382.07205454545
Steuben,2007,103347.50604545455
Wayne,2007,121870.55475454545
Chemung,2007,83901.7018409091
Clinton,2007,125492.75166363636
Sullivan,2007,136550.2623363636
Cattaraugus,2007,89854.85228545453
Cayuga,2007,116643.20007272727
Madison,2007,130486.24298181821
Warren,2007,186487.61737272728
Livingston,2007,131700.84477272726
Columbia,2007,215173.1734363636
Washington,2007,131783.9881909091
Herkimer,2007,102077.51185818181
Otsego,2007,123684.11817272728
Genesee,2007,124446.32984545454
Fulton,2007,110517.8576090909
Montgomery,2007,107696.14810909094
Tioga,2007,121434.75899090907
Greene,2007,131426.27523636364
Franklin,2007,106077.61946363637
Chenango,2007,94578.70392090907
Cortland,2007,117970.77100000001
Allegany,2007,77021.13584
Delaware,2007,128295.7961
Wyoming,2007,114139.57648181818
Orleans,2007,97512.84951636364
Essex,2007,119217.3755727273
Seneca,2007,116787.37507272727
Schoharie,2007,132609.59885454547
Lewis,2007,106825.34664545454
Yates,2007,158728.9219
Schuyler,2007,130541.74417272727
Hamilton,2007,154123.34503636364
Kings,2008,468429.21763333335
Queens,2008,486176.82909166673
New York,2008,951317.3901999999
Suffolk,2008,421149.64557500003
Bronx,2008,467041.19725000014
Nassau,2008,482124.84946666675
Westchester,2008,570916.2255749999
Erie,2008,120347.1992333333
Monroe,2008,127058.307525
Richmond,2008,414723.05864999996
Onondaga,2008,123169.64580833334
Orange,2008,279522.84219166666
Rockland,2008,447296.9006333333
Albany,2008,209954.15564166664
Dutchess,2008,295894.6268666667
Saratoga,2008,237042.39335000003
Oneida,2008,108811.9791833333
Niagara,2008,95526.40267333332
Broome,2008,107190.30543333333
Ulster,2008,243244.11825000003
Rensselaer,2008,186717.72815833334
Schenectady,2008,172705.371425
Chautauqua,2008,78841.70223499999
Oswego,2008,91172.88234833335
Jefferson,2008,119417.741925
Ontario,2008,147406.108125
Saint Lawrence,2008,79121.89959916667
Tompkins,2008,158366.99089166668
Putnam,2008,388209.4895083333
Steuben,2008,105255.10159166668
Wayne,2008,117639.03959166666
Chemung,2008,83838.75805749999
Clinton,2008,129639.953575
Sullivan,2008,142069.13194166668
Cattaraugus,2008,89585.31236833334
Cayuga,2008,118347.60592500003
Madison,2008,131953.3463
Warren,2008,192755.1953166667
Livingston,2008,130326.850625
Columbia,2008,212904.94495833336
Washington,2008,137780.4836666667
Herkimer,2008,103404.69919166667
Otsego,2008,127407.34181666665
Genesee,2008,118577.89829166666
Fulton,2008,113615.450225
Montgomery,2008,108938.10907499999
Tioga,2008,119280.2354083333
Greene,2008,168236.98813333336
Franklin,2008,104078.601625
Chenango,2008,96708.96134166665
Cortland,2008,119573.69045
Allegany,2008,77177.73555
Delaware,2008,132438.881125
Wyoming,2008,112100.89274166664
Orleans,2008,99589.20716333333
Essex,2008,140952.74434166666
Seneca,2008,112608.18255000003
Schoharie,2008,130716.07210833335
Lewis,2008,106055.06160833333
Yates,2008,155413.5045
Schuyler,2008,127729.79019166665
Hamilton,2008,152724.56335833334
Kings,2009,431275.68143636367
Queens,2009,434596.51029090903
New York,2009,937915.7581363636
Suffolk,2009,388570.5187909091
Bronx,2009,420379.0694181817
Nassau,2009,443476.01823636366
Westchester,2009,530073.6121
Erie,2009,121636.30673636362
Monroe,2009,126479.8808818182
Richmond,2009,392965.85429090913
Onondaga,2009,122359.96663636364
Orange,2009,257924.9881909091
Rockland,2009,414341.856509091
Albany,2009,204487.62898181818
Dutchess,2009,268747.9816909091
Saratoga,2009,230652.28068181823
Oneida,2009,108373.80851818183
Niagara,2009,97534.51276727272
Broome,2009,105947.48166363638
Ulster,2009,221441.05039999998
Rensselaer,2009,180663.33426363638
Schenectady,2009,167932.04790909094
Chautauqua,2009,80184.16999181818
