"Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 8/7/2023.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate
Sullivan,2021,77612,932,1200.8,136,175.2,5,6.4,41,52.8,14,18,76,97.9,796,1025.6,141,181.7,606,780.8,49,63.1
Sullivan,2022,81596,845,1035.6,143,175.3,4,4.9,42,51.5,18,22.1,79,96.8,702,860.3,108,132.4,547,670.4,47,57.6
Tioga,2000,54454,507,931.1,34,62.4,0,0,7,12.9,4,7.3,23,42.2,473,868.6,122,224,316,580.3,35,64.3
Tioga,2001,51879,542,1044.7,31,59.8,0,0,6,11.6,5,9.6,20,38.6,511,985,131,252.5,353,680.4,27,52
Tioga,2002,52278,610,1166.8,38,72.7,0,0,4,7.7,3,5.7,31,59.3,572,1094.2,136,260.1,413,790,23,44
Tioga,2003,51860,600,1157,32,61.7,1,1.9,9,17.4,3,5.8,19,36.6,568,1095.3,137,264.2,404,779,27,52.1
Tioga,2004,51846,546,1053.1,29,55.9,0,0,6,11.6,3,5.8,20,38.6,517,997.2,152,293.2,343,661.6,22,42.4
Tioga,2005,51609,513,994,29,56.2,1,1.9,4,7.8,1,1.9,23,44.6,484,937.8,117,226.7,344,666.6,23,44.6
Tioga,2006,51613,587,1137.3,37,71.7,0,0,7,13.6,1,1.9,29,56.2,550,1065.6,139,269.3,389,753.7,22,42.6
Tioga,2007,51076,533,1043.5,35,68.5,0,0,4,7.8,2,3.9,29,56.8,498,975,118,231,355,695,25,48.9
Tioga,2008,50281,580,1153.5,36,71.6,0,0,9,17.9,1,2,26,51.7,544,1081.9,123,244.6,402,799.5,19,37.8
Tioga,2009,49986,555,1110.3,30,60,0,0,4,8,0,0,26,52,525,1050.3,122,244.1,386,772.2,17,34
Tioga,2010,49341,600,1216,36,73,0,0,4,8.1,6,12.2,26,52.7,564,1143.1,135,273.6,418,847.2,11,22.3
Tioga,2011,51355,591,1150.8,34,66.2,0,0,5,9.7,3,5.8,26,50.6,557,1084.6,149,290.1,390,759.4,18,35.1
Tioga,2012,51319,667,1299.7,35,68.2,0,0,0,0,7,13.6,28,54.6,632,1231.5,151,294.2,466,908,15,29.2
Tioga,2013,50342,650,1291.2,27,53.6,1,2,4,7.9,5,9.9,17,33.8,623,1237.5,166,329.7,432,858.1,25,49.7
Tioga,2014,50124,468,933.7,27,53.9,0,0,5,10,2,4,20,39.9,441,879.8,113,225.4,314,626.4,14,27.9
Tioga,2015,49485,460,929.6,54,109.1,1,2,23,46.5,6,12.1,24,48.5,406,820.5,82,165.7,305,616.3,19,38.4
Tioga,2016,48810,463,948.6,63,129.1,1,2,25,51.2,4,8.2,33,67.6,400,819.5,79,161.9,302,618.7,19,38.9
Tioga,2017,48507,453,933.9,48,99,0,0,28,57.7,0,0,20,41.2,405,834.9,78,160.8,300,618.5,27,55.7
Tioga,2018,47336,397,838.7,43,90.8,0,0,17,35.9,3,6.3,23,48.6,354,747.8,55,116.2,279,589.4,20,42.3
Tioga,2019,47997,396,825.1,58,120.8,2,4.2,33,68.8,4,8.3,19,39.6,338,704.2,75,156.3,248,516.7,15,31.3
