"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Macoupin,"1,112,648","1,121,167","1,170,113","1,146,944",44,0.8,4.4,-2.0,88
Madison,"12,089,112","10,754,719","11,630,847","11,434,900",13,-11.0,8.1,-1.7,84
Marion,"1,325,981","1,256,420","1,272,399","1,306,920",40,-5.2,1.3,2.7,29
Marshall,"362,434","385,951","435,304","458,259",81,6.5,12.8,5.3,16
Mason,"474,635","388,669","423,721","458,176",82,-18.1,9.0,8.1,5
Massac,"620,469","590,469","646,621","572,417",70,-4.8,9.5,-11.5,102
Menard,"226,034","234,354","262,085","258,983",92,3.7,11.8,-1.2,76
Mercer,"369,247","391,263","424,386","425,436",84,6.0,8.5,0.2,60
Monroe,"895,698","865,245","968,430","910,027",54,-3.4,11.9,-6.0,100
Montgomery,"1,027,239","887,655","963,424","1,017,393",51,-13.6,8.5,5.6,14
Morgan,"1,556,950","1,495,015","1,491,907","1,470,724",39,-4.0,-0.2,-1.4,82
Moultrie,"834,022","815,054","720,749","731,264",63,-2.3,-11.6,1.5,45
Ogle,"2,667,339","2,740,941","2,766,532","2,807,275",25,2.8,0.9,1.5,44
Peoria,"13,060,083","12,195,225","12,508,455","13,244,738",7,-6.6,2.6,5.9,12
Perry,"580,779","569,420","590,716","605,326",65,-2.0,3.7,2.5,32
Piatt,"474,667","484,971","505,772","514,555",75,2.2,4.3,1.7,43
Pike,"508,662","512,364","596,797","567,866",73,0.7,16.5,-4.8,98
Pope,"57,722","52,471","51,442","57,348",102,-9.1,-2.0,11.5,2
Pulaski,"198,971","156,899","158,856","156,085",97,-21.1,1.2,-1.7,86
Putnam,"332,283","276,115","300,236","287,264",90,-16.9,8.7,-4.3,97
Randolph,"1,482,695","1,334,968","1,511,888","1,493,323",36,-10.0,13.3,-1.2,78
Richland,"568,236","550,225","566,192","568,427",72,-3.2,2.9,0.4,58
Rock Island,"10,172,349","9,830,250","9,899,701","9,816,801",14,-3.4,0.7,-0.8,70
St. Clair,"11,807,863","11,316,630","12,135,090","11,950,816",9,-4.2,7.2,-1.5,83
Saline,"807,244","721,256","742,221","757,207",62,-10.7,2.9,2.0,38
Sangamon,"11,450,461","10,669,967","11,282,804","11,483,920",12,-6.8,5.7,1.8,41
Schuyler,"242,516","238,681","237,530","234,924",93,-1.6,-0.5,-1.1,73
Scott,"137,590","143,537","155,695","156,566",96,4.3,8.5,0.6,55
Shelby,"718,256","763,987","763,614","768,804",60,6.4,0.0,0.7,51
Stark,"187,979","214,976","245,273","260,987",91,14.4,14.1,6.4,7
Stephenson,"1,760,135","1,729,021","1,800,875","1,832,315",31,-1.8,4.2,1.7,42
Tazewell,"5,872,010","5,310,099","5,680,626","6,030,735",17,-9.6,7.0,6.2,9
Union,"419,360","398,991","399,129","388,703",85,-4.9,0.0,-2.6,93
Vermilion,"3,200,616","3,045,323","3,155,857","3,225,783",23,-4.9,3.6,2.2,35
Wabash,"343,811","324,198","312,811","322,343",88,-5.7,-3.5,3.0,25
Warren,"755,014","763,379","800,513","847,234",56,1.1,4.9,5.8,13
Washington,"1,089,385","1,022,471","994,355","1,103,392",45,-6.1,-2.7,11.0,3
Wayne,"454,349","431,579","453,066","461,894",80,-5.0,5.0,1.9,39
White,"506,550","440,395","471,343","465,597",79,-13.1,7.0,-1.2,77
Whiteside,"2,049,944","2,008,885","2,116,654","2,162,699",29,-2.0,5.4,2.2,37
Will,"34,340,655","33,463,951","35,846,532","35,885,479",4,-2.6,7.1,0.1,63
Williamson,"2,969,444","2,795,766","2,861,146","2,997,474",24,-5.8,2.3,4.8,17
Winnebago,"14,206,109","12,795,095","13,241,601","13,663,162",6,-9.9,3.5,3.2,24
Woodford,"1,102,428","1,158,536","1,231,863","1,217,623",41,5.1,6.3,-1.2,74
,,,,,,,,,
Indiana,"371,044,463","359,184,703","384,051,049","396,009,189",--,-3.2,6.9,3.1,--
Adams,"1,815,301","1,669,723","1,757,569","1,805,835",40,-8.0,5.3,2.7,39
Allen,"21,895,602","20,233,354","21,550,466","22,287,820",4,-7.6,6.5,3.4,34
Bartholomew,"6,780,298","6,283,094","6,538,720","6,996,930",12,-7.3,4.1,7.0,15
Benton,"469,199","489,991","494,472","482,808",83,4.4,0.9,-2.4,81
Blackford,"339,226","321,299","340,848","326,574",86,-5.3,6.1,-4.2,84
Boone,"3,498,563","3,796,899","4,178,114","4,229,012",19,8.5,10.0,1.2,58
Brown,"298,383","268,685","293,289","306,714",87,-10.0,9.2,4.6,27
Carroll,"655,963","675,623","726,000","692,020",74,3.0,7.5,-4.7,86
Cass,"1,379,440","1,386,543","1,477,503","1,503,337",50,0.5,6.6,1.7,50
Clark,"5,451,600","5,469,388","5,718,488","5,807,794",15,0.3,4.6,1.6,55
Clay,"785,070","760,514","807,984","848,658",66,-3.1,6.2,5.0,25
Clinton,"1,453,319","1,439,325","1,456,403","1,532,955",45,-1.0,1.2,5.3,22
Crawford,"182,718","185,667","190,717","193,997",90,1.6,2.7,1.7,51
Daviess,"1,296,564","1,375,567","1,401,381","1,530,527",46,6.1,1.9,9.2,9
Dearborn,"1,798,352","1,820,355","1,893,352","1,865,874",38,1.2,4.0,-1.5,78
Decatur,"1,742,514","1,610,164","1,644,108","1,625,762",43,-7.6,2.1,-1.1,77
DeKalb,"2,557,667","2,417,963","2,668,253","2,794,775",28,-5.5,10.4,4.7,26
Delaware,"4,128,420","4,029,329","4,164,411","4,319,738",18,-2.4,3.4,3.7,31
Dubois,"2,739,490","2,629,831","2,696,554","2,788,243",29,-4.0,2.5,3.4,35
Elkhart,"16,064,684","15,661,587","18,720,820","20,013,141",5,-2.5,19.5,6.9,17
Fayette,"563,896","543,697","560,963","558,488",79,-3.6,3.2,-0.4,71
Floyd,"2,972,890","2,779,941","2,984,512","3,060,618",25,-6.5,7.4,2.6,44
Fountain,"457,787","463,137","518,897","557,160",80,1.2,12.0,7.4,11
Franklin,"511,435","524,190","546,309","534,641",81,2.5,4.2,-2.1,80
Fulton,"677,564","669,460","699,843","699,900",72,-1.2,4.5,0.0,68
Gibson,"3,386,875","3,331,158","3,526,201","3,893,862",21,-1.6,5.9,10.4,5
Grant,"2,428,645","2,320,643","2,471,765","2,545,605",31,-4.4,6.5,3.0,38
Greene,"637,627","607,689","642,731","648,567",76,-4.7,5.8,0.9,60
Hamilton,"20,786,542","20,009,623","21,939,427","22,860,477",2,-3.7,9.6,4.2,29
Hancock,"3,216,043","3,236,483","3,516,458","3,499,659",24,0.6,8.7,-0.5,73
Harrison,"1,165,587","1,144,537","1,200,215","1,209,168",54,-1.8,4.9,0.7,61
Hendricks,"7,017,979","7,056,169","7,488,887","7,691,416",10,0.5,6.1,2.7,41
Henry,"1,361,409","1,361,325","1,491,321","1,510,075",48,0.0,9.5,1.3,57
Howard,"4,386,884","4,135,308","4,497,728","4,951,309",16,-5.7,8.8,10.1,6
Huntington,"1,439,377","1,394,510","1,520,060","1,560,928",44,-3.1,9.0,2.7,43
Jackson,"2,417,498","2,473,828","2,707,768","2,867,098",27,2.3,9.5,5.9,21
Jasper,"1,556,730","1,451,007","1,541,467","1,429,935",51,-6.8,6.2,-7.2,90
Jay,"889,101","870,954","960,697","1,087,318",59,-2.0,10.3,13.2,2
Jefferson,"1,562,614","1,509,381","1,635,762","1,742,294",41,-3.4,8.4,6.5,19
Jennings,"746,606","724,741","719,226","750,258",67,-2.9,-0.8,4.3,28
Johnson,"5,549,779","5,540,585","6,097,602","6,117,373",14,-0.2,10.1,0.3,64
Knox,"1,828,043","1,824,095","1,880,505","1,926,136",36,-0.2,3.1,2.4,45
Kosciusko,"5,570,728","5,815,793","6,169,248","6,265,837",13,4.4,6.1,1.6,53
Lagrange,"1,884,769","1,661,724","1,855,131","2,084,499",33,-11.8,11.6,12.4,4
Lake,"22,635,834","21,288,528","22,751,399","22,771,391",3,-6.0,6.9,0.1,67
LaPorte,"4,120,823","3,990,212","4,197,586","4,177,727",20,-3.2,5.2,-0.5,72
Lawrence,"1,349,712","1,310,643","1,464,667","1,515,658",47,-2.9,11.8,3.5,33
Madison,"3,863,211","3,743,449","3,890,168","3,878,811",22,-3.1,3.9,-0.3,69
Marion,"95,126,100","93,825,716","99,239,930","102,844,605",1,-1.4,5.8,3.6,32
Marshall,"1,662,438","1,623,533","1,670,010","1,676,921",42,-2.3,2.9,0.4,62
Martin,"1,088,653","1,126,856","1,135,266","1,215,082",53,3.5,0.7,7.0,14
Miami,"959,956","907,824","947,148","880,371",65,-5.4,4.3,-7.1,89
Monroe,"7,063,433","6,758,448","6,938,545","7,171,059",11,-4.3,2.7,3.4,36
Montgomery,"1,633,312","1,611,785","1,739,343","1,864,021",39,-1.3,7.9,7.2,12
Morgan,"1,866,328","1,872,853","1,763,636","1,919,517",37,0.3,-5.8,8.8,10
Newton,"322,162","340,477","376,104","365,223",85,5.7,10.5,-2.9,82
Noble,"1,959,535","1,850,392","1,992,682","2,074,984",34,-5.6,7.7,4.1,30
Ohio,"116,078","119,000","122,227","122,541",92,2.5,2.7,0.3,65
Orange,"643,495","597,964","648,696","709,279",71,-7.1,8.5,9.3,8
Owen,"525,030","524,515","579,044","613,681",78,-0.1,10.4,6.0,20
Parke,"343,254","366,399","399,912","406,171",84,6.7,9.1,1.6,54
Perry,"746,540","703,479","802,474","910,838",63,-5.8,14.1,13.5,1
Pike,"719,783","648,391","726,336","693,715",73,-9.9,12.0,-4.5,85
Porter,"7,593,062","6,925,856","7,324,730","7,839,876",9,-8.8,5.8,7.0,13
Posey,"3,545,646","3,243,097","4,119,742","3,570,645",23,-8.5,27.0,-13.3,92
Pulaski,"615,079","626,359","665,662","712,036",70,1.8,6.3,7.0,16
Putnam,"1,130,284","1,082,277","1,113,150","1,104,042",57,-4.2,2.9,-0.8,75
Randolph,"783,478","739,853","877,868","922,462",62,-5.6,18.7,5.1,24
Ripley,"1,149,353","1,157,369","1,197,826","1,102,178",58,0.7,3.5,-8.0,91
Rush,"609,130","575,125","618,983","631,322",77,-5.6,7.6,2.0,48
St. Joseph,"14,592,716","13,728,042","14,414,936","14,862,458",6,-5.9,5.0,3.1,37
Scott,"715,625","688,643","724,789","717,758",69,-3.8,5.2,-1.0,76
Shelby,"2,029,838","1,904,247","1,984,160","2,087,349",32,-6.2,4.2,5.2,23
Spencer,"1,098,481","893,487","1,004,482","1,006,524",60,-18.7,12.4,0.2,66
Starke,"537,583","539,049","549,609","522,124",82,0.3,2.0,-5.0,87
Steuben,"1,473,071","1,385,729","1,503,247","1,509,266",49,-5.9,8.5,0.4,63
Sullivan,"911,947","799,363","956,561","979,275",61,-12.3,19.7,2.4,46
Switzerland,"242,307","211,960","237,517","235,889",89,-12.5,12.1,-0.7,74
Tippecanoe,"10,461,315","9,715,177","9,960,155","10,641,227",8,-7.1,2.5,6.8,18
Tipton,"590,955","610,890","657,477","669,417",75,3.4,7.6,1.8,49
Union,"139,167","141,035","145,871","139,803",91,1.3,3.4,-4.2,83
Vanderburgh,"11,501,582","10,846,464","11,423,858","11,537,474",7,-5.7,5.3,1.0,59
Vermillion,"816,244","869,216","926,378","908,455",64,6.5,6.6,-1.9,79
Vigo,"4,606,744","4,550,677","4,774,920","4,903,773",17,-1.2,4.9,2.7,42
Wabash,"1,164,935","1,133,832","1,249,578","1,270,836",52,-2.7,10.2,1.7,52
Warren,"218,094","224,753","300,829","284,793",88,3.1,33.8,-5.3,88
Warrick,"2,316,762","2,377,862","2,545,865","2,584,353",30,2.6,7.1,1.5,56
Washington,"630,550","614,508","672,760","739,281",68,-2.5,9.5,9.9,7
Wayne,"2,825,488","2,724,264","2,817,849","2,894,783",26,-3.6,3.4,2.7,40
Wells,"1,099,217","1,076,891","1,188,854","1,185,146",55,-2.0,10.4,-0.3,70
White,"959,563","1,018,777","1,114,928","1,139,697",56,6.2,9.4,2.2,47
Whitley,"1,566,449","1,534,179","1,782,250","2,007,715",35,-2.1,16.2,12.7,3
,,,,,,,,,
Iowa,"188,318,356","187,136,650","198,470,829","197,846,255",--,-0.6,6.1,-0.3,--
Adair,"371,279","443,200","501,353","501,881",77,19.4,13.1,0.1,47
Adams,"220,658","197,413","220,340","215,986",98,-10.5,11.6,-2.0,76
Allamakee,"594,828","598,071","557,855","553,363",68,0.5,-6.7,-0.8,61
Appanoose,"401,090","404,362","448,338","421,282",84,0.8,10.9,-6.0,94
Audubon,"298,976","286,301","306,166","304,548",91,-4.2,6.9,-0.5,58
Benton,"860,315","839,794","885,856","894,924",41,-2.4,5.5,1.0,39
Black Hawk,"7,891,355","7,918,264","8,403,668","8,149,083",5,0.3,6.1,-3.0,84
Boone,"1,018,386","1,024,704","1,052,492","1,042,577",31,0.6,2.7,-0.9,62
Bremer,"1,116,133","1,074,202","1,162,587","1,177,966",27,-3.8,8.2,1.3,36
Buchanan,"768,060","755,924","784,296","786,929",50,-1.6,3.8,0.3,45
Buena Vista,"1,184,907","1,243,275","1,323,186","1,452,784",22,4.9,6.4,9.8,4
Butler,"415,906","398,181","529,991","546,275",70,-4.3,33.1,3.1,25
Calhoun,"398,395","376,676","420,480","426,539",83,-5.5,11.6,1.4,35
Carroll,"1,304,023","1,293,589","1,316,030","1,329,933",24,-0.8,1.7,1.1,38
Cass,"665,128","633,250","688,894","677,604",57,-4.8,8.8,-1.6,73
Cedar,"601,788","564,116","667,134","643,612",58,-6.3,18.3,-3.5,87
Cerro Gordo,"2,430,187","2,422,542","2,579,203","2,573,895",13,-0.3,6.5,-0.2,54
Cherokee,"617,297","624,115","710,862","777,263",51,1.1,13.9,9.3,5
Chickasaw,"632,626","594,953","703,822","758,966",53,-6.0,18.3,7.8,9
Clarke,"404,098","402,034","435,156","469,695",79,-0.5,8.2,7.9,8
Clay,"1,012,161","1,009,854","1,024,855","1,068,362",29,-0.2,1.5,4.2,20
Clayton,"867,926","800,698","826,095","825,616",46,-7.7,3.2,-0.1,53
Clinton,"2,211,471","2,181,046","2,310,217","2,311,645",14,-1.4,5.9,0.1,49
Crawford,"760,053","725,126","796,228","791,528",49,-4.6,9.8,-0.6,59
Dallas,"5,662,295","5,924,704","6,468,013","6,601,785",7,4.6,9.2,2.1,30
Davis,"258,954","248,554","275,594","286,898",94,-4.0,10.9,4.1,22
Decatur,"210,929","203,430","229,286","234,236",96,-3.6,12.7,2.2,29
Delaware,"875,574","871,796","874,613","899,084",40,-0.4,0.3,2.8,26
Des Moines,"2,183,916","2,157,596","2,239,257","2,205,134",15,-1.2,3.8,-1.5,71
Dickinson,"990,378","970,622","1,051,014","1,051,094",30,-2.0,8.3,0.0,51
Dubuque,"6,624,026","6,772,031","7,048,913","6,866,230",6,2.2,4.1,-2.6,82
Emmet,"367,718","339,536","389,175","392,492",86,-7.7,14.6,0.9,41
Fayette,"728,369","707,081","732,480","743,855",54,-2.9,3.6,1.6,32
Floyd,"801,789","751,303","805,907","820,321",47,-6.3,7.3,1.8,31
Franklin,"568,382","547,315","642,123","640,149",59,-3.7,17.3,-0.3,57
Fremont,"327,173","297,600","344,450","322,055",89,-9.0,15.7,-6.5,96
Greene,"469,561","463,955","547,114","537,587",71,-1.2,17.9,-1.7,75
Grundy,"498,902","500,697","584,080","584,214",64,0.4,16.7,0.0,50
Guthrie,"419,423","447,556","482,544","506,797",76,6.7,7.8,5.0,16
Hamilton,"759,682","675,889","766,151","804,219",48,-11.0,13.4,5.0,18
Hancock,"789,929","734,549","880,583","942,274",35,-7.0,19.9,7.0,11
Hardin,"793,795","732,457","870,276","906,654",39,-7.7,18.8,4.2,21
Harrison,"445,147","420,361","504,965","516,351",73,-5.6,20.1,2.3,27
Henry,"907,278","921,099","965,988","935,338",36,1.5,4.9,-3.2,86
Howard,"446,795","437,638","502,371","509,743",74,-2.0,14.8,1.5,34
Humboldt,"457,085","425,267","464,394","458,871",80,-7.0,9.2,-1.2,67
Ida,"532,393","587,324","600,189","583,481",65,10.3,2.2,-2.8,83
Iowa,"1,063,250","963,077","1,039,960","990,773",32,-9.4,8.0,-4.7,91
Jackson,"632,242","650,870","647,054","639,197",60,2.9,-0.6,-1.2,68
Jasper,"1,217,348","1,193,848","1,274,671","1,159,073",28,-1.9,6.8,-9.1,99
Jefferson,"704,001","672,127","727,457","738,526",55,-4.5,8.2,1.5,33
Johnson,"9,627,039","9,317,599","9,460,748","9,492,245",4,-3.2,1.5,0.3,46
Jones,"625,510","619,206","653,666","637,340",61,-1.0,5.6,-2.5,79
Keokuk,"332,666","310,002","333,275","319,652",90,-6.8,7.5,-4.1,90
Kossuth,"883,889","807,055","984,841","984,733",34,-8.7,22.0,0.0,52
Lee,"1,775,915","1,864,778","1,842,815","1,771,261",18,5.0,-1.2,-3.9,88
Linn,"16,821,605","16,419,464","17,306,757","17,321,866",2,-2.4,5.4,0.1,48
Louisa,"736,909","777,093","972,409","932,744",37,5.5,25.1,-4.1,89
Lucas,"307,657","311,504","320,695","298,611",92,1.3,3.0,-6.9,97
Lyon,"814,867","863,857","822,286","912,971",38,6.0,-4.8,11.0,3
Madison,"418,674","419,399","452,701","451,547",81,0.2,7.9,-0.3,55
Mahaska,"872,478","821,063","868,311","858,109",44,-5.9,5.8,-1.2,66
Marion,"2,205,597","2,195,583","2,225,929","2,112,895",16,-0.5,1.4,-5.1,93
Marshall,"1,866,652","1,825,511","1,786,164","1,766,947",19,-2.2,-2.2,-1.1,65
Mills,"604,190","522,219","567,149","552,579",69,-13.6,8.6,-2.6,81
Mitchell,"670,515","579,527","604,232","633,568",62,-13.6,4.3,4.9,19
Monona,"315,851","298,278","339,020","342,642",88,-5.6,13.7,1.1,37
Monroe,"417,169","411,476","466,479","496,812",78,-1.4,13.4,6.5,12
Montgomery,"422,487","409,435","450,104","443,513",82,-3.1,9.9,-1.5,70
Muscatine,"2,580,716","2,542,297","2,522,513","2,578,843",12,-1.5,-0.8,2.2,28
O'Brien,"858,935","858,641","856,850","883,743",42,0.0,-0.2,3.1,24
Osceola,"340,170","327,620","355,806","407,093",85,-3.7,8.6,14.4,2
Page,"618,026","586,361","641,130","621,580",63,-5.1,9.3,-3.0,85
Palo Alto,"503,411","457,819","528,845","577,658",66,-9.1,15.5,9.2,6
Plymouth,"1,415,461","1,343,127","1,453,299","1,526,073",21,-5.1,8.2,5.0,17
Pocahontas,"527,187","467,002","512,855","517,436",72,-11.4,9.8,0.9,40
Polk,"44,816,347","45,908,548","48,921,087","47,683,356",1,2.4,6.6,-2.5,80
Pottawattamie,"4,370,722","4,115,273","4,317,964","4,349,226",10,-5.8,4.9,0.7,43
Poweshiek,"1,103,209","1,123,069","1,182,184","1,222,295",26,1.8,5.3,3.4,23
Ringgold,"185,375","173,802","176,273","165,129",99,-6.2,1.4,-6.3,95
Sac,"499,063","472,801","541,844","571,402",67,-5.3,14.6,5.5,15
Scott,"9,591,035","9,464,867","9,802,814","9,868,941",3,-1.3,3.6,0.7,44
Shelby,"702,083","666,914","773,997","768,800",52,-5.0,16.1,-0.7,60
Sioux,"2,322,570","2,457,050","2,369,324","2,587,382",11,5.8,-3.6,9.2,7
Story,"5,635,840","5,544,734","5,799,272","5,782,585",8,-1.6,4.6,-0.3,56
Tama,"611,137","643,935","694,249","684,535",56,5.4,7.8,-1.4,69
Taylor,"251,101","247,291","301,172","293,879",93,-1.5,21.8,-2.4,78
Union,"640,115","684,301","783,221","839,681",45,6.9,14.5,7.2,10
Van Buren,"222,464","215,901","244,661","232,442",97,-3.0,13.3,-5.0,92
Wapello,"1,657,608","1,641,566","1,764,162","1,723,775",20,-1.0,7.5,-2.3,77
Warren,"1,279,175","1,272,428","1,391,443","1,368,732",23,-0.5,9.4,-1.6,72
Washington,"1,201,683","1,040,767","1,201,344","1,270,872",25,-13.4,15.4,5.8,14
Wayne,"225,843","215,535","267,639","248,624",95,-4.6,24.2,-7.1,98
Webster,"2,040,163","1,948,087","2,088,476","2,105,636",17,-4.5,7.2,0.8,42
Winnebago,"407,607","429,977","478,883","507,405",75,5.5,11.4,6.0,13
Winneshiek,"967,015","986,008","1,003,796","986,693",33,2.0,1.8,-1.7,74
Woodbury,"5,241,792","5,118,383","5,273,987","5,217,724",9,-2.4,3.0,-1.1,64
Worth,"297,646","286,530","354,820","351,158",87,-3.7,23.8,-1.0,63
Wright,"658,320","632,958","739,559","877,648",43,-3.9,16.8,18.7,1
,,,,,,,,,
Kansas,"170,351,748","168,540,833","172,839,773","174,794,603",--,-1.1,2.6,1.1,--
Allen,"553,306","552,376","576,251","556,971",38,-0.2,4.3,-3.3,47
Anderson,"264,879","295,960","356,545","299,113",53,11.7,20.5,-16.1,86
Atchison,"708,552","684,803","678,250","628,585",31,-3.4,-1.0,-7.3,58
Barber,"181,930","182,496","183,584","194,639",70,0.3,0.6,6.0,10
Barton,"1,225,253","1,239,409","1,206,722","1,187,074",23,1.2,-2.6,-1.6,40
Bourbon,"606,149","590,313","584,400","609,572",34,-2.6,-1.0,4.3,15
Brown,"574,964","550,605","619,369","567,476",37,-4.2,12.5,-8.4,65
Butler,"2,486,394","2,463,623","2,548,408","2,359,250",12,-0.9,3.4,-7.4,59
Chase,"117,553","132,574","134,180","118,310",91,12.8,1.2,-11.8,75
Chautauqua,"68,174","70,934","72,358","65,838",104,4.0,2.0,-9.0,69
Cherokee,"765,135","827,140","830,606","872,820",25,8.1,0.4,5.1,12
Cheyenne,"107,676","122,662","141,419","117,938",92,13.9,15.3,-16.6,89
Clark,"181,576","189,060","203,039","204,115",66,4.1,7.4,0.5,32
Clay,"285,913","282,148","293,291","224,404",63,-1.3,3.9,-23.5,96
Cloud,"385,909","398,350","416,705","385,451",46,3.2,4.6,-7.5,60
Coffey,"815,820","872,861","749,211","645,388",29,7.0,-14.2,-13.9,81
Comanche,"56,176","52,141","53,964","69,926",103,-7.2,3.5,29.6,3
Cowley,"1,292,719","1,243,774","1,317,936","1,279,251",22,-3.8,6.0,-2.9,45
Crawford,"1,717,161","1,674,044","1,694,753","1,682,766",16,-2.5,1.2,-0.7,37
Decatur,"111,069","132,767","137,567","193,559",71,19.5,3.6,40.7,1
Dickinson,"641,591","614,462","681,331","620,230",32,-4.2,10.9,-9.0,68
Doniphan,"288,698","270,549","286,711","225,663",62,-6.3,6.0,-21.3,95
Douglas,"5,148,011","5,029,137","5,178,674","5,219,845",5,-2.3,3.0,0.8,28
Edwards,"167,243","163,304","159,431","145,252",82,-2.4,-2.4,-8.9,67
Elk,"77,301","75,815","76,996","86,517",100,-1.9,1.6,12.4,5
Ellis,"1,556,539","1,609,266","1,680,506","1,772,342",15,3.4,4.4,5.5,11
Ellsworth,"270,755","276,802","271,507","247,611",61,2.2,-1.9,-8.8,66
Finney,"2,130,892","2,148,664","2,273,538","2,287,775",13,0.8,5.8,0.6,31
Ford,"2,184,374","2,279,348","2,416,136","2,444,691",11,4.3,6.0,1.2,26
Franklin,"902,280","868,004","899,524","828,942",26,-3.8,3.6,-7.8,62
Geary,"2,888,806","2,935,636","2,976,999","2,885,327",9,1.6,1.4,-3.1,46
Gove,"150,135","157,336","196,982","170,892",77,4.8,25.2,-13.2,80
Graham,"121,746","125,082","143,367","119,266",90,2.7,14.6,-16.8,90
Grant,"382,353","431,389","419,535","413,414",44,12.8,-2.7,-1.5,39
Gray,"580,023","569,766","558,866","615,705",33,-1.8,-1.9,10.2,7
Greeley,"117,104","127,192","135,263","180,961",75,8.6,6.3,33.8,2
Greenwood,"154,207","153,057","147,487","144,373",83,-0.7,-3.6,-2.1,43
Hamilton,"213,469","227,776","174,459","157,072",78,6.7,-23.4,-10.0,71
Harper,"274,015","274,187","280,973","258,604",59,0.1,2.5,-8.0,64
Harvey,"1,349,722","1,282,312","1,357,386","1,308,772",19,-5.0,5.9,-3.6,48
Haskell,"260,418","298,325","295,405","224,265",64,14.6,-1.0,-24.1,97
Hodgeman,"105,948","114,619","108,187","94,995",97,8.2,-5.6,-12.2,76
Jackson,"364,840","365,533","388,744","396,755",45,0.2,6.3,2.1,22
Jefferson,"422,558","435,842","436,563","372,532",47,3.1,0.2,-14.7,82
Jewell,"108,138","108,745","119,115","64,249",105,0.6,9.5,-46.1,105
Johnson,"50,607,347","49,932,185","51,001,391","53,507,243",1,-1.3,2.1,4.9,13
Kearny,"183,038","199,354","215,817","203,626",67,8.9,8.3,-5.6,53
Kingman,"276,320","351,000","324,457","282,518",54,27.0,-7.6,-12.9,77
Kiowa,"113,468","134,861","132,367","93,673",98,18.9,-1.8,-29.2,99
Labette,"848,548","820,172","798,368","814,188",27,-3.3,-2.7,2.0,23
Lane,"106,378","107,308","109,033","113,134",93,0.9,1.6,3.8,16
Leavenworth,"2,867,175","2,926,106","2,984,552","2,947,593",7,2.1,2.0,-1.2,38
Lincoln,"105,081","130,607","125,129","106,295",94,24.3,-4.2,-15.1,84
Linn,"484,943","517,632","509,079","451,765",43,6.7,-1.7,-11.3,74
Logan,"143,058","153,127","155,575","140,303",86,7.0,1.6,-9.8,70
Lyon,"1,436,454","1,427,324","1,462,914","1,488,309",18,-0.6,2.5,1.7,24
McPherson,"2,159,572","1,961,614","1,890,166","1,892,051",14,-9.2,-3.6,0.1,34
Marion,"400,387","393,333","387,260","329,419",48,-1.8,-1.5,-14.9,83
Marshall,"542,691","542,386","546,462","629,467",30,-0.1,0.8,15.2,4
Meade,"236,243","225,973","258,919","248,353",60,-4.3,14.6,-4.1,49
Miami,"970,835","988,715","1,020,360","1,036,518",24,1.8,3.2,1.6,25
Mitchell,"436,690","489,927","505,485","465,766",42,12.2,3.2,-7.9,63
Montgomery,"1,757,229","1,715,257","1,866,698","1,679,946",17,-2.4,8.8,-10.0,72
Morris,"182,670","192,121","188,441","180,290",76,5.2,-1.9,-4.3,50
Morton,"116,506","128,276","139,363","88,545",99,10.1,8.6,-36.5,104
Nemaha,"423,689","468,692","507,936","545,268",40,10.6,8.4,7.3,9
Neosho,"600,137","562,480","587,208","554,631",39,-6.3,4.4,-5.5,52
Ness,"173,657","179,920","184,948","155,108",79,3.6,2.8,-16.1,87
Norton,"222,914","245,745","253,938","277,846",56,10.2,3.3,9.4,8
Osage,"302,710","306,465","319,854","267,672",57,1.2,4.4,-16.3,88
Osborne,"170,852","171,140","168,711","146,770",80,0.2,-1.4,-13.0,78
Ottawa,"113,939","120,563","132,786","105,775",95,5.8,10.1,-20.3,93
Pawnee,"273,960","267,214","274,486","207,240",65,-2.5,2.7,-24.5,98
Phillips,"341,749","327,181","371,929","314,766",50,-4.3,13.7,-15.4,85
Pottawatomie,"1,229,566","1,229,422","1,322,022","1,295,230",20,0.0,7.5,-2.0,42
Pratt,"579,504","560,980","584,511","539,015",41,-3.2,4.2,-7.8,61
Rawlins,"105,706","138,239","163,112","182,086",73,30.8,18.0,11.6,6
Reno,"2,572,505","2,570,711","2,615,806","2,611,622",10,-0.1,1.8,-0.2,35
Republic,"206,175","198,221","215,169","142,944",84,-3.9,8.5,-33.6,102
Rice,"566,139","504,446","559,710","573,778",36,-10.9,11.0,2.5,19
Riley,"2,743,635","2,695,463","2,798,593","2,900,047",8,-1.8,3.8,3.6,17
Rooks,"178,271","185,573","190,753","192,187",72,4.1,2.8,0.8,29
Rush,"147,175","146,418","155,513","126,374",87,-0.5,6.2,-18.7,91
Russell,"253,494","266,926","284,509","264,048",58,5.3,6.6,-7.2,57
Saline,"2,887,076","2,722,152","2,902,390","2,976,053",6,-5.7,6.6,2.5,18
Scott,"264,524","306,020","314,018","315,023",49,15.7,2.6,0.3,33
Sedgwick,"31,931,117","30,679,155","31,391,701","32,861,513",2,-3.9,2.3,4.7,14
Seward,"1,159,057","1,222,675","1,315,438","1,283,372",21,5.5,7.6,-2.4,44
