"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Alaska,"52,325,267","50,344,621","51,021,839","50,315,131",--,-3.8,1.3,-1.4,--
Aleutians East Borough,"319,484","252,358","277,219","290,811",16,-21.0,9.9,4.9,10
Aleutians West Census Area,"601,260","670,490","657,526","690,977",10,11.5,-1.9,5.1,8
Anchorage Municipality,"23,072,230","22,410,855","23,030,206","22,928,246",1,-2.9,2.8,-0.4,23
Bethel Census Area,"710,934","686,331","661,157","677,999",11,-3.5,-3.7,2.5,16
Bristol Bay Borough,"138,377","126,140","143,548","151,534",22,-8.8,13.8,5.6,7
Chugach Census Area1,(NA),"1,356,522","1,517,396","1,532,257",7,(NA),11.9,1.0,20
Copper River Census Area1,(NA),"107,882","124,092","127,377",24,(NA),15.0,2.6,15
Denali Borough,"271,443","205,321","242,486","282,233",18,-24.4,18.1,16.4,1
Dillingham Census Area,"268,201","249,179","240,338","250,663",19,-7.1,-3.5,4.3,11
Fairbanks North Star Borough,"5,668,703","5,462,327","5,646,088","5,532,492",2,-3.6,3.4,-2.0,25
Haines Borough,"120,582","88,873","94,173","102,242",25,-26.3,6.0,8.6,3
Hoonah-Angoon Census Area,"91,133","78,022","83,737","96,877",26,-14.4,7.3,15.7,2
Juneau City and Borough,"2,425,746","2,310,434","2,367,333","2,379,361",6,-4.8,2.5,0.5,22
Kenai Peninsula Borough,"2,672,406","2,709,823","2,599,157","2,541,367",5,1.4,-4.1,-2.2,26
Ketchikan Gateway Borough,"950,776","803,682","825,532","843,173",8,-15.5,2.7,2.1,17
Kodiak Island Borough,"804,093","775,101","764,250","788,771",9,-3.6,-1.4,3.2,12
Kusilvak Census Area,"158,022","149,082","145,259","148,131",23,-5.7,-2.6,2.0,18
Lake and Peninsula Borough,"87,381","79,825","107,055","86,097",27,-8.6,34.1,-19.6,30
Matanuska-Susitna Borough,"2,878,441","2,962,159","3,059,715","3,149,033",4,2.9,3.3,2.9,14
Nome Census Area,"445,445","426,177","429,753","455,576",15,-4.3,0.8,6.0,5
North Slope Borough,"6,012,465","6,188,650","5,662,665","5,116,686",3,2.9,-8.5,-9.6,29
Northwest Arctic Borough,"597,631","633,274","575,193","568,340",13,6.0,-9.2,-1.2,24
Petersburg Borough,"175,770","167,287","175,079","160,827",21,-4.8,4.7,-8.1,28
Prince of Wales-Hyder Census Area,"259,823","242,922","238,950","240,661",20,-6.5,-1.6,0.7,21
Sitka City and Borough,"496,709","434,428","483,863","508,340",14,-12.5,11.4,5.1,9
Skagway Municipality,"98,720","61,452","67,838","73,367",29,-37.8,10.4,8.1,4
Southeast Fairbanks Census Area,"553,670","620,950","672,216","638,767",12,12.2,8.3,-5.0,27
Valdez-Cordova Census Area1,"2,086,984",(NA),(NA),(NA),--,(NA),(NA),(NA),--
Wrangell City and Borough,"89,410","83,620","80,970","83,427",28,-6.5,-3.2,3.0,13
Yakutat City and Borough,"31,958","34,027","38,084","40,204",30,6.5,11.9,5.6,6
Yukon-Koyukuk Census Area,"288,294","278,077","279,889","283,973",17,-3.5,0.7,1.5,19
,,,,,,,,,
Arizona,"359,645,749","362,603,499","390,805,167","403,474,201",--,0.8,7.8,3.2,--
Apache,"2,399,841","2,332,203","2,344,892","2,231,257",10,-2.8,0.5,-4.8,12
Cochise,"4,693,345","4,987,234","4,878,561","4,855,020",8,6.3,-2.2,-0.5,10
Coconino,"7,675,239","6,954,326","7,483,588","7,696,628",6,-9.4,7.6,2.8,3
Gila,"1,646,284","1,726,679","1,853,702","1,799,560",12,4.9,7.4,-2.9,11
Graham,"1,045,003","1,189,701","1,360,297","1,248,772",14,13.8,14.3,-8.2,13
Greenlee,"1,305,215","1,543,251","1,911,407","1,600,809",13,18.2,23.9,-16.2,15
La Paz,"692,747","679,656","740,315","676,852",15,-1.9,8.9,-8.6,14
Maricopa,"260,460,624","263,448,936","286,493,701","298,240,414",1,1.1,8.7,4.1,2
Mohave,"5,639,351","5,773,611","6,269,010","6,257,347",7,2.4,8.6,-0.2,8
Navajo,"2,824,979","2,759,998","2,817,394","2,804,006",9,-2.3,2.1,-0.5,9
Pima,"45,085,532","44,978,084","47,065,575","47,959,709",2,-0.2,4.6,1.9,4
Pinal,"9,139,130","9,345,582","9,849,538","9,982,112",3,2.3,5.4,1.3,5
Santa Cruz,"1,914,159","1,934,498","2,013,502","2,022,514",11,1.1,4.1,0.4,6
Yavapai,"7,388,378","7,450,732","8,087,008","8,092,110",5,0.8,8.5,0.1,7
Yuma,"7,747,758","7,516,153","7,658,882","8,137,550",4,-3.0,1.9,6.2,1
,,,,,,,,,
Arkansas,"127,216,019","128,061,208","135,568,770","137,355,545",--,0.7,5.9,1.3,--
Arkansas,"1,028,801","1,050,529","1,155,743","1,036,351",23,2.1,10.0,-10.3,71
Ashley,"782,866","735,400","724,262","728,373",31,-6.1,-1.5,0.6,44
Baxter,"1,583,090","1,546,043","1,592,306","1,628,561",17,-2.3,3.0,2.3,29
Benton,"15,663,064","16,479,460","17,989,743","18,675,011",2,5.2,9.2,3.8,21
Boone,"1,305,222","1,298,899","1,400,918","1,412,493",19,-0.5,7.9,0.8,42
Bradley,"332,138","327,574","341,078","334,315",57,-1.4,4.1,-2.0,54
Calhoun,"320,328","342,036","370,506","339,866",56,6.8,8.3,-8.3,67
Carroll,"840,073","809,833","907,829","968,041",26,-3.6,12.1,6.6,11
Chicot,"264,364","270,734","299,503","245,185",62,2.4,10.6,-18.1,74
Clark,"788,071","775,859","778,894","751,849",27,-1.5,0.4,-3.5,59
Clay,"322,000","331,722","375,143","349,451",55,3.0,13.1,-6.8,64
Cleburne,"631,687","605,776","631,337","622,875",37,-4.1,4.2,-1.3,51
Cleveland,"118,006","115,656","126,726","151,474",72,-2.0,9.6,19.5,1
Columbia,"887,388","871,509","951,637","981,839",25,-1.8,9.2,3.2,24
Conway,"672,040","675,109","738,316","746,263",28,0.5,9.4,1.1,38
Craighead,"4,834,967","4,877,701","5,322,808","5,245,632",5,0.9,9.1,-1.4,52
Crawford,"1,693,406","1,686,363","1,732,582","1,749,952",15,-0.4,2.7,1.0,40
Crittenden,"1,787,273","1,743,160","1,740,640","1,671,569",16,-2.5,-0.1,-4.0,61
Cross,"433,142","447,939","452,087","419,117",50,3.4,0.9,-7.3,66
Dallas,"219,458","243,257","252,005","238,227",64,10.8,3.6,-5.5,62
Desha,"530,740","549,845","572,936","516,319",43,3.6,4.2,-9.9,70
Drew,"600,141","585,362","608,068","600,632",38,-2.5,3.9,-1.2,50
Faulkner,"3,907,751","3,919,933","4,040,159","4,146,551",6,0.3,3.1,2.6,27
Franklin,"416,234","429,788","419,206","450,117",48,3.3,-2.5,7.4,9
Fulton,"183,786","184,599","195,826","200,824",66,0.4,6.1,2.6,28
Garland,"3,432,909","3,396,356","3,488,827","3,498,943",7,-1.1,2.7,0.3,46
Grant,"421,132","406,252","421,434","405,324",51,-3.5,3.7,-3.8,60
Greene,"1,482,196","1,449,278","1,573,146","1,587,303",18,-2.2,8.5,0.9,41
Hempstead,"920,990","938,395","953,880","1,008,658",24,1.9,1.7,5.7,13
Hot Spring,"975,701","985,536","1,034,840","1,150,517",22,1.0,5.0,11.2,3
Howard,"568,082","572,350","621,240","640,845",36,0.8,8.5,3.2,25
Independence,"1,781,914","1,655,103","1,794,652","1,850,946",14,-7.1,8.4,3.1,26
Izard,"273,631","256,726","276,061","286,550",58,-6.2,7.5,3.8,22
Jackson,"661,606","669,126","691,488","733,508",30,1.1,3.3,6.1,12
Jefferson,"3,051,660","2,867,547","2,997,957","2,909,795",10,-6.0,4.5,-2.9,56
Johnson,"658,126","643,059","700,485","737,464",29,-2.3,8.9,5.3,15
Lafayette,"121,385","114,834","134,973","140,066",74,-5.4,17.5,3.8,23
Lawrence,"431,091","439,496","426,364","444,888",49,1.9,-3.0,4.3,19
Lee,"182,262","161,349","201,107","158,901",71,-11.5,24.6,-21.0,75
Lincoln,"225,148","224,917","265,123","246,785",61,-0.1,17.9,-6.9,65
Little River,"489,264","511,076","493,257","496,016",45,4.5,-3.5,0.6,45
Logan,"434,538","420,535","453,272","489,303",46,-3.2,7.8,7.9,8
Lonoke,"1,318,481","1,352,526","1,444,352","1,409,825",20,2.6,6.8,-2.4,55
Madison,"343,452","346,553","426,740","482,194",47,0.9,23.1,13.0,2
Marion,"570,355","555,341","599,439","666,082",34,-2.6,7.9,11.1,4
Miller,"1,363,035","1,338,315","1,341,394","1,299,941",21,-1.8,0.2,-3.1,58
Mississippi,"2,588,229","2,655,290","2,958,740","2,992,677",9,2.6,11.4,1.1,37
Monroe,"182,240","199,441","199,096","171,858",69,9.4,-0.2,-13.7,73
Montgomery,"138,306","132,621","140,944","140,980",73,-4.1,6.3,0.0,47
Nevada,"238,652","232,439","233,151","230,798",65,-2.6,0.3,-1.0,49
Newton,"104,380","96,725","102,781","104,120",75,-7.3,6.3,1.3,36
Ouachita,"622,005","616,962","629,377","656,225",35,-0.8,2.0,4.3,20
Perry,"148,466","145,188","163,469","166,505",70,-2.2,12.6,1.9,32
Phillips,"530,855","531,038","576,579","499,944",44,0.0,8.6,-13.3,72
Pike,"248,934","252,022","259,966","271,691",59,1.2,3.2,4.5,18
Poinsett,"573,639","580,524","614,067","555,034",41,1.2,5.8,-9.6,69
Polk,"508,786","506,991","564,792","590,519",39,-0.4,11.4,4.6,17
Pope,"2,837,045","2,908,339","2,878,382","2,908,637",11,2.5,-1.0,1.1,39
Prairie,"166,603","194,810","198,889","180,502",68,16.9,2.1,-9.2,68
Pulaski,"29,063,376","29,111,085","30,167,606","30,579,205",1,0.2,3.6,1.4,34
Randolph,"497,913","488,438","541,105","567,773",40,-1.9,10.8,4.9,16
St. Francis,"718,387","717,299","738,340","695,578",32,-0.2,2.9,-5.8,63
Saline,"2,569,194","2,729,538","2,906,643","3,070,928",8,6.2,6.5,5.7,14
Scott,"261,445","261,307","330,248","353,079",54,-0.1,26.4,6.9,10
Searcy,"178,065","168,886","183,099","182,422",67,-5.2,8.4,-0.4,48
Sebastian,"6,731,684","6,664,587","6,918,171","7,068,271",4,-1.0,3.8,2.2,30
Sevier,"465,399","420,846","488,725","539,790",42,-9.6,16.1,10.4,6
Sharp,"328,925","303,954","360,049","397,995",52,-7.6,18.5,10.5,5
Stone,"235,575","224,585","250,346","255,235",60,-4.7,11.5,2.0,31
Union,"2,427,703","2,469,781","2,537,866","2,579,072",12,1.7,2.8,1.6,33
Van Buren,"348,790","345,204","376,283","370,396",53,-1.0,9.0,-1.6,53
Washington,"11,659,987","11,975,078","13,015,375","13,190,992",3,2.7,8.7,1.3,35
White,"2,196,951","2,160,299","2,346,307","2,360,524",13,-1.7,8.6,0.6,43
Woodruff,"212,888","232,288","248,182","240,728",63,9.1,6.8,-3.0,57
Yell,"577,300","538,434","616,929","669,036",33,-6.7,14.6,8.4,7
,,,,,,,,,
California,"2,962,792,081","2,925,146,950","3,146,185,348","3,167,460,825",--,-1.3,7.6,0.7,--
Alameda,"139,402,982","136,223,264","145,604,956","148,710,279",7,-2.3,6.9,2.1,9
Alpine,"133,334","106,827","106,291","102,508",57,-19.9,-0.5,-3.6,54
Amador,"1,679,363","1,573,820","1,575,602","1,603,830",44,-6.3,0.1,1.8,15
Butte,"9,447,628","8,878,582","9,070,391","9,106,972",29,-6.0,2.2,0.4,27
Calaveras,"1,473,978","1,324,807","1,344,011","1,362,966",47,-10.1,1.4,1.4,18
Colusa,"1,324,159","1,492,977","1,345,914","1,366,634",46,12.7,-9.9,1.5,17
Contra Costa,"78,510,880","71,114,009","77,220,621","76,340,778",11,-9.4,8.6,-1.1,41
Del Norte,"776,240","780,330","806,076","793,917",53,0.5,3.3,-1.5,43
El Dorado,"8,331,055","7,757,064","8,122,482","8,382,976",31,-6.9,4.7,3.2,6
Fresno,"44,985,158","44,298,577","45,813,064","45,388,356",13,-1.5,3.4,-0.9,39
Glenn,"1,028,927","1,067,565","1,075,795","967,170",51,3.8,0.8,-10.1,58
Humboldt,"5,636,655","5,364,541","5,527,476","5,629,986",35,-4.8,3.0,1.9,13
Imperial,"8,285,950","8,639,503","8,201,308","8,517,940",30,4.3,-5.1,3.9,4
Inyo,"1,222,163","1,133,755","1,109,885","1,120,740",48,-7.2,-2.1,1.0,23
Kern,"45,414,089","45,439,983","45,334,031","43,822,046",14,0.1,-0.2,-3.3,52
Kings,"6,453,745","6,550,767","6,591,539","6,607,669",33,1.5,0.6,0.2,28
Lake,"1,928,586","1,873,782","1,908,755","1,867,799",43,-2.8,1.9,-2.1,47
Lassen,"1,145,454","1,173,062","1,146,317","1,079,581",49,2.4,-2.3,-5.8,56
Los Angeles,"766,866,344","728,748,544","773,824,541","790,016,435",1,-5.0,6.2,2.1,10
Madera,"6,244,195","6,240,107","6,410,911","6,140,436",34,-0.1,2.7,-4.2,55
Marin,"29,733,453","29,644,699","30,358,174","30,668,950",18,-0.3,2.4,1.0,22
Mariposa,"745,255","658,783","680,334","704,140",54,-11.6,3.3,3.5,5
Mendocino,"3,510,861","3,389,345","3,569,466","3,519,898",38,-3.5,5.3,-1.4,42
Merced,"9,229,029","9,094,702","9,236,208","9,251,611",28,-1.5,1.6,0.2,29
Modoc,"409,155","453,496","445,301","431,710",55,10.8,-1.8,-3.1,51
Mono,"1,029,751","929,565","1,025,730","1,078,682",50,-9.7,10.3,5.2,3
Monterey,"27,426,311","26,964,076","27,192,351","26,728,936",20,-1.7,0.8,-1.7,45
Napa,"10,987,735","10,386,964","11,381,396","11,316,575",27,-5.5,9.6,-0.6,36
Nevada,"4,381,871","4,274,263","4,456,112","4,543,195",36,-2.5,4.3,2.0,12
Orange,"257,959,284","252,505,652","268,128,135","270,440,831",3,-2.1,6.2,0.9,25
Placer,"23,899,004","23,832,648","26,061,039","26,571,231",21,-0.3,9.4,2.0,11
Plumas,"1,020,522","890,698","821,869","893,623",52,-12.7,-7.7,8.7,2
Riverside,"90,583,356","88,835,097","94,364,944","95,159,114",10,-1.9,6.2,0.8,26
Sacramento,"94,028,313","92,019,955","97,236,248","98,990,166",9,-2.1,5.7,1.8,14
San Benito,"2,346,845","2,187,319","2,306,012","2,261,595",41,-6.8,5.4,-1.9,46
San Bernardino,"94,078,804","93,729,451","99,325,961","100,649,568",8,-0.4,6.0,1.3,20
San Diego,"236,250,458","232,701,672","250,063,598","257,341,197",4,-1.5,7.5,2.9,7
San Francisco,"202,552,979","210,152,550","239,696,745","233,953,076",5,3.8,14.1,-2.4,50
San Joaquin,"31,216,949","30,957,345","33,356,039","32,624,193",15,-0.8,7.7,-2.2,48
San Luis Obispo,"17,239,485","16,943,323","17,484,003","17,761,567",24,-1.7,3.2,1.6,16
San Mateo,"140,568,773","144,137,263","163,395,545","165,414,201",6,2.5,13.4,1.2,21
Santa Barbara,"28,901,426","29,367,094","31,365,482","31,147,307",17,1.6,6.8,-0.7,37
Santa Clara,"318,506,750","339,750,453","385,798,950","382,786,734",2,6.7,13.6,-0.8,38
